author_id,author_name,movement_type,prev_year,prev_countries,prev_publication_id,curr_year,curr_countries,curr_publication_id
A5064402075,Ana da Costa Polonia,Foreign to Brazilian,2023,"FR, US",W4389191392,2024,BR,W4396653614
A5046199529,I.A. Costa,Brazilian to Foreign,2017,BR,W2768463974,2024,IT,W4396662017
A5102861551,Marcos Antonio Soares de Andrade Filho,Brazilian to Foreign,2024,"BR, ES",W4396707421,2024,ES,W4398161341
A5095694469,Leandromar Brandalise,Brazilian to Foreign,2024,"BR, ES",W4396707421,2024,ES,W4399674270
A5045133568,Elias Oliveira,Brazilian to Foreign,2015,BR,W2293126230,2015,MN,W3036423607
A5045133568,Elias Oliveira,Foreign to Brazilian,2015,MN,W3036423607,2015,BR,W3011448141
A5054725298,Lucas Pacheco,Brazilian to Foreign,2020,BR,W3128257365,2021,CH,W3173186182
A5087658596,Torsten Braun,Foreign to Brazilian,2017,CH,W2770347677,2018,BR,W2908615848
A5087658596,Torsten Braun,Brazilian to Foreign,2018,BR,W2908615848,2018,CH,W2794857660
A5068745057,Samuel Xavier‐de‐Souza,Brazilian to Foreign,2019,BR,W2992104209,2019,GB,W2993900288
A5068745057,Samuel Xavier‐de‐Souza,Foreign to Brazilian,2019,GB,W2993900288,2020,BR,W3046710241
